mite ID,zone ID,status,max diff,local diff,recording
mite_0029,Dead,dead,11.0,10.333333333333334,5
mite_0029,Dead,dead,11.0,9.666666666666666,6
mite_0030,Dead,dead,11.0,10.0,1
mite_0030,Dead,dead,11.0,10.333333333333334,2
mite_0030,Dead,dead,11.0,10.0,3
mite_0030,Dead,dead,10.0,9.333333333333334,4
mite_0030,Dead,dead,11.0,10.333333333333334,5
mite_0030,Dead,dead,11.0,10.333333333333334,6
mite_0031,Alive,alive,22.0,18.666666666666668,1
mite_0031,Alive,alive,20.0,17.333333333333332,2
mite_0031,Alive,dead,12.0,10.333333333333334,3
mite_0031,Alive,alive,19.0,17.0,4
mite_0031,Alive,alive,63.0,56.0,5
mite_0031,Alive,alive,69.0,63.333333333333336,6
mite_0032,Dead,dead,12.0,10.0,1
mite_0032,Dead,dead,12.0,10.333333333333334,2
mite_0032,Dead,dead,12.0,11.0,3
mite_0032,Dead,dead,11.0,10.0,4
mite_0032,Dead,dead,11.0,10.666666666666666,5
mite_0032,Dead,dead,12.0,10.666666666666666,6
mite_0033,Alive,dead,20.0,14.666666666666666,1
mite_0033,Alive,alive,62.0,58.0,2
mite_0033,Alive,alive,78.0,72.33333333333333,3
mite_0033,Alive,alive,64.0,54.666666666666664,4
mite_0033,Alive,alive,73.0,65.33333333333333,5
mite_0033,Alive,alive,49.0,46.0,6
mite_0034,Dead,dead,11.0,10.0,1
mite_0034,Dead,dead,10.0,9.333333333333334,2
mite_0034,Dead,dead,11.0,9.0,3
mite_0034,Dead,dead,11.0,10.333333333333334,4
mite_0034,Dead,dead,11.0,9.666666666666666,5
mite_0034,Dead,dead,11.0,10.0,6
mite_0035,Dead,dead,11.0,9.666666666666666,1
mite_0035,Dead,dead,11.0,10.0,2
mite_0035,Dead,dead,12.0,9.666666666666666,3
mite_0035,Dead,dead,10.0,10.0,4
mite_0035,Dead,dead,11.0,9.333333333333334,5
mite_0035,Dead,dead,10.0,9.333333333333334,6
mite_0036,Dead,dead,12.0,10.0,1
mite_0036,Dead,dead,10.0,9.333333333333334,2
mite_0036,Dead,dead,11.0,10.0,3
mite_0036,Dead,dead,10.0,9.666666666666666,4
mite_0036,Dead,dead,10.0,9.0,5
mite_0036,Dead,dead,11.0,9.666666666666666,6
mite_0037,Alive,alive,70.0,66.33333333333333,1
mite_0037,Alive,alive,83.0,78.33333333333333,2
mite_0037,Alive,alive,71.0,68.66666666666667,3
mite_0037,Alive,dead,14.0,11.666666666666666,4
mite_0037,Alive,dead,15.0,13.333333333333334,5
mite_0037,Alive,alive,74.0,69.66666666666667,6
mite_0038,Alive,alive,21.0,18.333333333333332,1
mite_0038,Alive,alive,23.0,20.333333333333332,2
mite_0038,Alive,alive,54.0,39.333333333333336,3
mite_0038,Alive,alive,69.0,50.666666666666664,4
mite_0038,Alive,dead,13.0,11.333333333333334,5
mite_0038,Alive,dead,16.0,13.333333333333334,6
mite_0039,Alive,alive,67.0,60.0,1
mite_0039,Alive,alive,65.0,58.0,2
mite_0039,Alive,alive,77.0,69.66666666666667,3
mite_0039,Alive,alive,57.0,46.666666666666664,4
mite_0039,Alive,alive,72.0,60.666666666666664,5
mite_0039,Alive,alive,67.0,57.666666666666664,6
mite_0040,Alive,alive,73.0,69.66666666666667,1
mite_0040,Alive,alive,33.0,28.666666666666668,2
mite_0040,Alive,alive,49.0,40.666666666666664,3
mite_0040,Alive,alive,71.0,60.666666666666664,4
mite_0040,Alive,alive,22.0,19.666666666666668,5
mite_0040,Alive,alive,69.0,68.33333333333333,6
